"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C8orf41",0,2.17891143231928,0.673,0.109,0,"5","C8orf4"
"SOX41",0,2.16407275350058,0.859,0.286,0,"5","SOX4"
"PRSS81",0,2.13132099444964,0.817,0.122,0,"5","PRSS8"
"ZFP36L11",0,2.12557200390526,0.904,0.282,0,"5","ZFP36L1"
"CLDN1",0,2.11083101483151,0.714,0.066,0,"5","CLDN1"
"CDC42EP11",0,2.07207140282673,0.835,0.174,0,"5","CDC42EP1"
"SDC41",0,2.06994479466595,0.865,0.194,0,"5","SDC4"
"EDN1",0,2.06831563080077,0.502,0.033,0,"5","EDN1"
"SLC4A4",0,2.06310419590811,0.653,0.042,0,"5","SLC4A4"
"LGALS4",0,2.04947006546772,0.613,0.024,0,"5","LGALS4"
"MALL",0,2.0207437710803,0.603,0.038,0,"5","MALL"
"LAD11",0,1.98853848604713,0.735,0.094,0,"5","LAD1"
"TFPI2",0,1.97971319560569,0.6,0.032,0,"5","TFPI2"
"TNFAIP2",0,1.95016811232616,0.48,0.045,0,"5","TNFAIP2"
"VCAM1",0,1.90383376867855,0.397,0.005,0,"5","VCAM1"
"LITAF",0,1.86820138699667,0.835,0.202,0,"5","LITAF"
"ALDH1A3",0,1.8541158837875,0.521,0.021,0,"5","ALDH1A3"
"TM4SF11",0,1.83571957168467,0.919,0.305,0,"5","TM4SF1"
"CTSH",0,1.80795838422617,0.507,0.063,0,"5","CTSH"
"AGRN",0,1.79495069654624,0.664,0.107,0,"5","AGRN"
"LAMB31",0,1.78976099816818,0.696,0.143,0,"5","LAMB3"
"PDLIM3",0,1.76885190116624,0.433,0.042,0,"5","PDLIM3"
"CX3CL1",0,1.68752588710771,0.419,0.028,0,"5","CX3CL1"
"PPAP2C",0,1.68336172328758,0.645,0.039,0,"5","PPAP2C"
"GPRC5B",0,1.67429526189522,0.551,0.041,0,"5","GPRC5B"
"KRT23",0,1.66945640747827,0.412,0.005,0,"5","KRT23"
"PIGR",0,1.65185182506929,0.348,0.018,0,"5","PIGR"
"AQP1",0,1.6375487723772,0.349,0.014,0,"5","AQP1"
"SMAD3",0,1.63263359078404,0.662,0.103,0,"5","SMAD3"
"CITED4",0,1.58578456162633,0.581,0.068,0,"5","CITED4"
"TSPAN15",0,1.58432760953514,0.606,0.088,0,"5","TSPAN15"
"TSPAN8",0,1.57409454831955,0.412,0.024,0,"5","TSPAN8"
"CLDN10",0,1.55955833300449,0.465,0.031,0,"5","CLDN10"
"PDZK1IP11",0,1.54211719085478,0.647,0.116,0,"5","PDZK1IP1"
