"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NCKAP1",2.52073087913809e-06,3.02910727799943,0.57,0.351,0.0441102696540375
"TFF2",2.89891705904518e-06,41.5003237231434,0.38,0.001,0.0507281496162315
"FAM3C",2.96956489123492e-06,0.430916809110741,0.562,0.353,0.0519644160317199
"EIF5",3.15475777188637e-06,3.32261734295626,0.529,0.333,0.0552051062502396
"MORF4L2",3.41499747433081e-06,1.06107609538433,0.587,0.411,0.0597590408033149
"SHC1",3.51209306907559e-06,14.3559454996367,0.529,0.275,0.0614581166157537
"CCNI",3.56146998709922e-06,1.32057652785079,0.628,0.416,0.0623221633042492
"RPL36AL",3.98505685083485e-06,1.35661141083232,0.612,0.427,0.0697345098327591
"APLP2",4.16744509548814e-06,1.59848290647351,0.595,0.394,0.072926121725947
"MISP",4.2031504468302e-06,7.25552634784204,0.388,0.083,0.0735509296690817
"SELK",4.73112144419534e-06,8.08338907098936,0.562,0.41,0.0827898941519743
"AFTPH",4.7946895525735e-06,1.17468631431786,0.479,0.267,0.0839022724804837
"VDAC1",4.95087318129833e-06,0.461804952275103,0.529,0.373,0.0866353297995395
"PPDPF",4.97934968304465e-06,2.39666096494213,0.545,0.391,0.0871336401035983
"SEL1L",5.15806861813896e-06,0.255947725441702,0.347,0.125,0.0902610427488137
"RHOA",5.4043561085197e-06,1.03857288274823,0.603,0.427,0.0945708275429862
"ACTR3",5.56188240221632e-06,0.486526725835065,0.612,0.348,0.0973273801563833
"DNAJB11",5.57019039228989e-06,1.65511671893982,0.446,0.247,0.0974727616746807
"C20orf24",5.59617023765692e-06,5.53260926694516,0.579,0.324,0.0979273829887585
"GNL3",5.68527090428651e-06,6.98344277760394,0.488,0.288,0.0994865555541097
"CNOT8",6.53354340482913e-06,2.21334949043883,0.372,0.112,0.114330476041105
"WASF2",6.53867505599307e-06,0.396609783725084,0.62,0.4,0.114420274804823
"SMAD3",6.58444025096562e-06,1.87894126518123,0.438,0.151,0.115221119951647
"TAX1BP1",6.9708593877663e-06,0.828189219404249,0.579,0.408,0.121983068426523
"GHITM",7.11471293627026e-06,2.27101974843046,0.529,0.411,0.124500361671793
"FAU",8.09995525892084e-06,1.92013423913007,0.628,0.437,0.141741117075856
"ISCU",8.36718513627363e-06,3.48462204131902,0.562,0.41,0.146417372699652
"YME1L1",8.96792856272352e-06,1.46164078530136,0.545,0.322,0.156929781919099
"MYOF",9.17060817764069e-06,1.67624425155529,0.372,0.083,0.160476472500534
"CNBP",9.1982264992426e-06,0.837072182210624,0.587,0.37,0.160959765510246
"RPS29",9.6717417916124e-06,2.00135336660598,0.57,0.424,0.169245809611425
"HNRNPA1",9.80357055725995e-06,0.350773789389654,0.562,0.396,0.171552681181492
"LPP",1.01233603094884e-05,1.77524052996777,0.537,0.28,0.177148682055738
"SPATS2L",1.01676145798729e-05,1.71522408950174,0.554,0.312,0.177923087533196
"DHRS3",1.10783039631784e-05,9.96520047421627,0.504,0.216,0.193859241051659
"XPOT",1.13484811695808e-05,2.24501195015642,0.364,0.143,0.198587071986495
"SUMO1",1.18372502599757e-05,6.17849362267986,0.521,0.351,0.207140042299315
"ARG2",1.48691617093077e-05,14.202370951775,0.38,0.184,0.260195460751175
"MXD1",1.59563430871483e-05,80.2257298286235,0.364,0.097,0.279220047682008
"CCT8",1.81918199204996e-05,1.9082333081274,0.57,0.379,0.318338656788822
"UCA1",1.85881417693446e-05,353.979614674928,0.355,0.024,0.325273892821761
"RHEB",1.92020821778675e-05,0.682859624602661,0.587,0.4,0.336017236030503
"RPS25",1.926277028386e-05,1.4523345212216,0.595,0.422,0.337079217197267
"RPS19",1.93879077738458e-05,0.585961907134855,0.512,0.37,0.339268998134527
"ERP44",2.09356435719218e-05,0.511771346828597,0.537,0.3,0.36635282686506
"RTCA",2.29060537958857e-05,13.5342636724697,0.339,0.112,0.400833035374205
"EIF4G1",2.29305932038933e-05,1.37167762833758,0.554,0.404,0.401262450474928
"DAZAP1",2.30536275530808e-05,0.98553971330215,0.496,0.296,0.403415428551361
"FERMT1",2.33150077631442e-05,7.4772734787251,0.306,0.022,0.407989320847261
"OSTC",2.34438706979237e-05,2.8574727703225,0.496,0.369,0.410244293342967
"RPS14",2.38286434418092e-05,2.49078396223574,0.554,0.395,0.41697743158822
"RABGGTB",2.65189835577813e-05,6.00035387729813,0.438,0.247,0.464055693277616
"HNRNPK",2.70375979491842e-05,0.380684536426317,0.612,0.415,0.473130926512775
"GOLM1",2.73819671059325e-05,17.7040981726727,0.496,0.231,0.479157042386713
"LRP10",2.76537016643079e-05,0.32719103687549,0.579,0.405,0.483912125423725
"ABHD2",2.77803226234263e-05,14.4196580087029,0.521,0.282,0.486127865587336
"EDEM1",2.93577884963161e-05,0.440980395684954,0.388,0.176,0.513731940897035
"UBE2H",2.95590571127356e-05,2.63982678354494,0.562,0.363,0.517253940415761
"CHCHD2",3.11715152311985e-05,1.91074581971947,0.562,0.437,0.545470345030743
"HMGN1",3.25919141437605e-05,2.09438500871761,0.554,0.412,0.570325905601665
